PDR,time,TotalTime(ms),Throughput(kbp)
1, 2022-05-26T18:49:24Z,13851,0.016172
1, 2022-05-26T18:49:37Z,26520,0.016893
1, 2022-05-26T18:49:50Z,39193,0.017146
1, 2022-05-26T18:50:02Z,51859,0.017278
1, 2022-05-26T18:50:15Z,64687,0.017314
1, 2022-05-26T18:50:28Z,77426,0.017359
1, 2022-05-26T18:50:40Z,89883,0.017445
1, 2022-05-26T18:50:53Z,102561,0.017473
1, 2022-05-26T18:51:06Z,115433,0.017465
1, 2022-05-26T18:51:18Z,127884,0.017516
0.909091, 2022-05-26T18:51:31Z,140791,0.01591
0.833333, 2022-05-26T18:51:44Z,153500,0.014593
0.769231, 2022-05-26T18:51:56Z,166122,0.013484
0.785714, 2022-05-26T18:52:09Z,178798,0.013781
0.733333, 2022-05-26T18:52:22Z,191463,0.012869
0.75, 2022-05-26T18:52:34Z,204071,0.013172
0.705882, 2022-05-26T18:52:47Z,216807,0.012398
0.722222, 2022-05-26T18:53:00Z,229258,0.012702
0.736842, 2022-05-26T18:53:12Z,242167,0.01295
0.75, 2022-05-26T18:53:25Z,254598,0.013197
0.761905, 2022-05-26T18:53:38Z,267503,0.013398
0.727273, 2022-05-26T18:53:50Z,280168,0.012792
0.73913, 2022-05-26T18:54:03Z,292780,0.013006
0.75, 2022-05-26T18:54:16Z,305288,0.013207
0.76, 2022-05-26T18:54:28Z,317972,0.013385
0.730769, 2022-05-26T18:54:41Z,330855,0.012864
0.740741, 2022-05-26T18:54:54Z,343522,0.013041
0.75, 2022-05-26T18:55:06Z,355980,0.013214
0.758621, 2022-05-26T18:55:19Z,368687,0.013366
0.766667, 2022-05-26T18:55:32Z,381318,0.013511
0.774194, 2022-05-26T18:55:45Z,394204,0.013638
0.78125, 2022-05-26T18:55:57Z,406657,0.013771
0.787879, 2022-05-26T18:56:10Z,419479,0.013884
0.794118, 2022-05-26T18:56:23Z,432231,0.013993
0.8, 2022-05-26T18:56:35Z,444677,0.014105
0.805556, 2022-05-26T18:56:48Z,457354,0.014203
0.783784, 2022-05-26T18:57:01Z,470251,0.013814
0.789474, 2022-05-26T18:57:13Z,482688,0.013922
0.794872, 2022-05-26T18:57:26Z,495362,0.014018
0.8, 2022-05-26T18:57:39Z,508306,0.014102
0.780488, 2022-05-26T18:57:51Z,520929,0.01376
0.785714, 2022-05-26T18:58:04Z,533379,0.013859
0.790698, 2022-05-26T18:58:16Z,546088,0.013946
0.795455, 2022-05-26T18:58:29Z,558720,0.014032
0.8, 2022-05-26T18:58:42Z,571604,0.014108
0.782609, 2022-05-26T18:58:55Z,584284,0.013802
0.787234, 2022-05-26T18:59:07Z,596732,0.013889
0.791667, 2022-05-26T18:59:20Z,609400,0.013968
0.795918, 2022-05-26T18:59:33Z,622301,0.014038
0.8, 2022-05-26T18:59:45Z,634960,0.014111
0.784314, 2022-05-26T18:59:58Z,647637,0.013835
0.788462, 2022-05-26T19:00:10Z,660088,0.013913
0.773585, 2022-05-26T19:00:23Z,672981,0.013647
0.777778, 2022-05-26T19:00:36Z,685429,0.013726
0.763636, 2022-05-26T19:01:01Z,710999,0.013232
0.767857, 2022-05-26T19:01:14Z,723665,0.01331
0.77193, 2022-05-26T19:01:26Z,736183,0.013388
0.775862, 2022-05-26T19:01:39Z,748796,0.013462
0.779661, 2022-05-26T19:01:52Z,761471,0.013532
0.766667, 2022-05-26T19:02:05Z,774362,0.013306
0.770492, 2022-05-26T19:02:17Z,786880,0.013379
0.774194, 2022-05-26T19:02:30Z,799476,0.013449
0.761905, 2022-05-26T19:02:43Z,812372,0.013235
0.75, 2022-05-26T19:02:55Z,825033,0.013032
0.753846, 2022-05-26T19:03:08Z,837495,0.013106
0.742424, 2022-05-26T19:03:21Z,850385,0.012907
0.746269, 2022-05-26T19:03:33Z,862844,0.01298
0.735294, 2022-05-26T19:03:46Z,875729,0.012789
0.73913, 2022-05-26T19:03:58Z,888184,0.012862
0.742857, 2022-05-26T19:04:11Z,900854,0.01293
0.746479, 2022-05-26T19:04:24Z,913517,0.012996
0.736111, 2022-05-26T19:04:37Z,926453,0.012814
0.739726, 2022-05-26T19:04:49Z,938862,0.012884
0.743243, 2022-05-26T19:05:02Z,951539,0.012947
0.746667, 2022-05-26T19:05:15Z,964431,0.013007
0.75, 2022-05-26T19:05:27Z,977103,0.013067
0.74026, 2022-05-26T19:05:40Z,989786,0.0129
0.730769, 2022-05-26T19:05:53Z,1002440,0.012737
0.734177, 2022-05-26T19:06:05Z,1014894,0.012801
0.725, 2022-05-26T19:06:18Z,1027785,0.012641
0.728395, 2022-05-26T19:06:31Z,1040242,0.012705
0.731707, 2022-05-26T19:06:43Z,1052916,0.012765
0.73494, 2022-05-26T19:06:56Z,1065589,0.012823
0.738095, 2022-05-26T19:07:09Z,1078474,0.012877
0.741176, 2022-05-26T19:07:21Z,1090968,0.012935
0.744186, 2022-05-26T19:07:34Z,1103600,0.01299
0.747126, 2022-05-26T19:07:47Z,1116273,0.013043
0.738636, 2022-05-26T19:07:59Z,1129162,0.012895
0.741573, 2022-05-26T19:08:12Z,1141612,0.01295
0.744444, 2022-05-26T19:08:25Z,1154288,0.013002
0.736264, 2022-05-26T19:08:37Z,1167177,0.012858
0.73913, 2022-05-26T19:08:50Z,1179639,0.012912
0.741935, 2022-05-26T19:09:03Z,1192305,0.012963
0.744681, 2022-05-26T19:09:15Z,1204981,0.013013
0.747368, 2022-05-26T19:09:28Z,1217861,0.013059
0.739583, 2022-05-26T19:09:41Z,1230540,0.012924
0.742268, 2022-05-26T19:09:53Z,1242988,0.012975
0.734694, 2022-05-26T19:10:06Z,1255878,0.012842
0.737374, 2022-05-26T19:10:19Z,1268466,0.012891
0.73, 2022-05-26T19:10:32Z,1281223,0.012763
0.732673, 2022-05-26T19:10:44Z,1293683,0.012813
0.72549, 2022-05-26T19:10:57Z,1306561,0.012687
0.728155, 2022-05-26T19:11:09Z,1319034,0.012737
0.730769, 2022-05-26T19:11:22Z,1331827,0.012782
0.72381, 2022-05-26T19:11:35Z,1344589,0.012661
0.726415, 2022-05-26T19:11:47Z,1357037,0.01271
0.728972, 2022-05-26T19:12:00Z,1369707,0.012756
0.722222, 2022-05-26T19:12:13Z,1382601,0.012637
0.724771, 2022-05-26T19:12:25Z,1395075,0.012685
0.727273, 2022-05-26T19:12:38Z,1407724,0.01273
0.72973, 2022-05-26T19:12:51Z,1420391,0.012774
0.732143, 2022-05-26T19:13:03Z,1433063,0.012817
0.734513, 2022-05-26T19:13:16Z,1445738,0.01286
0.72807, 2022-05-26T19:13:31Z,1460472,0.01273
0.730435, 2022-05-26T19:13:42Z,1471298,0.012789
0.732759, 2022-05-26T19:13:54Z,1483967,0.01283
0.735043, 2022-05-26T19:14:07Z,1496633,0.012872
0.737288, 2022-05-26T19:14:19Z,1509091,0.012914
0.739496, 2022-05-26T19:14:32Z,1521987,0.012951
0.741667, 2022-05-26T19:14:45Z,1534653,0.012991
0.743802, 2022-05-26T19:14:58Z,1547328,0.013029
0.745902, 2022-05-26T19:15:10Z,1559776,0.013069
0.747967, 2022-05-26T19:15:23Z,1572455,0.013106
0.75, 2022-05-26T19:15:35Z,1585128,0.013142
0.752, 2022-05-26T19:15:48Z,1598016,0.013176
0.753968, 2022-05-26T19:16:01Z,1610685,0.013212
0.755906, 2022-05-26T19:16:13Z,1623151,0.013248
0.757812, 2022-05-26T19:16:26Z,1635809,0.013283
0.75969, 2022-05-26T19:16:39Z,1648505,0.013316
0.761538, 2022-05-26T19:16:52Z,1661377,0.013348
0.763359, 2022-05-26T19:17:04Z,1673828,0.013382
0.765152, 2022-05-26T19:17:17Z,1686718,0.013413
0.766917, 2022-05-26T19:17:30Z,1699384,0.013445
0.768657, 2022-05-26T19:17:42Z,1711846,0.013478
0.762963, 2022-05-26T19:17:55Z,1724732,0.013377
0.764706, 2022-05-26T19:18:08Z,1737190,0.01341
0.766423, 2022-05-26T19:18:20Z,1749851,0.013441
0.76087, 2022-05-26T19:18:33Z,1762756,0.013343
0.76259, 2022-05-26T19:18:46Z,1775193,0.013375
0.764286, 2022-05-26T19:18:58Z,1788094,0.013404
0.765957, 2022-05-26T19:19:11Z,1800540,0.013436
